brand_id,brand_name,store_id,store_name_raw,store_name_std,address_raw,address_std,sido_nm,ccg_nm,district_nm,ccg_id,district_cd,longitude,latitude,coordinate_source,store_status,match_method,match_confidence,area_id,area_name,area_type,spatial_join_status,exclusion_reason,source_name,source_date,_store_name_norm,_store_addr_norm,_brand_norm
BRD_20080200064,파리바게뜨,MA010120220800420337,파리바게뜨노량진２호점,파리바게뜨노량진호점,서울특별시 동작구 노량진로 118,서울특별시동작구노량진로118,서울특별시,동작구,동작구,11590,11590,126.939124421004,37.5132369856315,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3120153,노량진역(노량진),발달상권,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,파리바게뜨노량진호점,서울특별시동작구노량진로118,파리바게뜨
BRD_20080200064,파리바게뜨,MA010120220800421311,파리바게뜨,파리바게뜨,서울특별시 동작구 서달로13길 5-30,서울특별시동작구서달로13길530,서울특별시,동작구,동작구,11590,11590,126.961602137564,37.5076872338193,소상공인시장진흥공단 상가(상권)정보,미확인,exact,high,3110840,중앙대학교,골목상권,matched_nearest_300m,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,파리바게뜨,서울특별시동작구서달로13길530,파리바게뜨
BRD_20080200064,파리바게뜨,MA010120220800424190,파리바게뜨고속 터미널점,파리바게뜨고속터미널점,서울특별시 서초구 신반포로 194,서울특별시서초구신반포로194,서울특별시,서초구,서초구,11650,11650,127.006831199112,37.5064318700918,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3120167,고속터미널(고속터미널역),발달상권,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,파리바게뜨고속터미널점,서울특별시서초구신반포로194,파리바게뜨
BRD_20080200064,파리바게뜨,MA010120220800426051,파리바게뜨장승배기역점,파리바게뜨장승배기역점,서울특별시 동작구 장승배기로 76,서울특별시동작구장승배기로76,서울특별시,동작구,동작구,11590,11590,126.939414324399,37.5044162992153,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3120154,장승배기역,발달상권,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,파리바게뜨장승배기역점,서울특별시동작구장승배기로76,파리바게뜨
BRD_20080200064,파리바게뜨,MA010120220800428067,파리바게뜨사러가,파리바게뜨사러가,서울특별시 영등포구 신길로 167,서울특별시영등포구신길로167,서울특별시,영등포구,영등포구,11560,11560,126.910752590445,37.5070560866343,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3110795,도림초등학교,골목상권,matched_nearest_300m,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,파리바게뜨사러가,서울특별시영등포구신길로167,파리바게뜨
BRD_20080200064,파리바게뜨,MA010120220800438981,파리바게뜨반포타운,파리바게뜨반포타운,서울특별시 서초구 신반포로23길 30,서울특별시서초구신반포로23길30,서울특별시,서초구,서초구,11650,11650,127.00354011987,37.5087836375194,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3120167,고속터미널(고속터미널역),발달상권,matched_nearest_300m,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,파리바게뜨반포타운,서울특별시서초구신반포로23길30,파리바게뜨
BRD_20080200064,파리바게뜨,MA010120220800440447,파리바게뜨상도4동점,파리바게뜨상도4동점,서울특별시 동작구 양녕로26길 29,서울특별시동작구양녕로26길29,서울특별시,동작구,동작구,11590,11590,126.944214967135,37.4972106167132,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3130264,상도약수골목형상점가,전통시장,matched,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,파리바게뜨상도4동점,서울특별시동작구양녕로26길29,파리바게뜨
BRD_20080200064,파리바게뜨,MA010120220800440457,파리바게뜨남성역 두산점,파리바게뜨남성역두산점,서울특별시 동작구 사당로17가길 22,서울특별시동작구사당로17가길22,서울특별시,동작구,동작구,11590,11590,126.972807726715,37.4840569383114,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3130271,남성역골목시장,전통시장,matched_nearest_300m,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,파리바게뜨남성역두산점,서울특별시동작구사당로17가길22,파리바게뜨
BRD_20080100039,뚜레쥬르,MA010120220800441534,뚜레쥬르,뚜레쥬르,서울특별시 동작구 알마타길 6,서울특별시동작구알마타길6,서울특별시,동작구,동작구,11590,11590,126.924955173887,37.5098590777018,소상공인시장진흥공단 상가(상권)정보,미확인,exact,high,3110815,공군호텔,골목상권,matched_nearest_300m,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,뚜레쥬르,서울특별시동작구알마타길6,뚜레쥬르
BRD_20080100039,뚜레쥬르,MA010120220800441707,뚜레쥬르중앙대학교점,뚜레쥬르중앙대학교점,서울특별시 동작구 흑석로 84,서울특별시동작구흑석로84,서울특별시,동작구,동작구,11590,11590,126.95383390613,37.5047291564945,소상공인시장진흥공단 상가(상권)정보,미확인,prefix,medium,3110836,상도역 5번,골목상권,matched_nearest_300m,,소상공인시장진흥공단 상가(상권)정보,2026-06-30,뚜레쥬르중앙대학교점,서울특별시동작구흑석로84,뚜레쥬르
