experiment_id,rank,hit@5,ndcg@5,hit@10,ndcg@10,hit@20,ndcg@20
dna_shrunk_distance,958.1750000000001,0.325,0.325,0.325,0.325,0.325,0.325
market_total_sales,468.48333333333335,0.06666666666666667,0.035964572404216744,0.075,0.038473155701416586,0.15,0.05699819225612591
dna_shrunk_cosine,586.7083333333334,0.041666666666666664,0.028737159323994937,0.06666666666666667,0.03689220388032196,0.09166666666666667,0.0435942206780346
market_total_transactions,457.47499999999997,0.03333333333333333,0.016666666666666666,0.08333333333333333,0.031639037636778736,0.15,0.04889937478486667
pu_bagged_logistic,436.94166666666666,0.03333333333333333,0.01572377339362118,0.03333333333333333,0.01572377339362118,0.05000000000000001,0.019724268855995052
