brand_name,top20_count,market_observed_count,mean_affinity,mean_market_score
곤트란쉐리에(Gontran Cherrier),20,0,0.6315151515151515,0.5003030303030302
더베이크,20,0,0.6315151515151515,0.5003030303030302
던킨/던킨도너츠,20,0,0.6315151515151515,0.5003030303030302
디에그,20,0,0.6315151515151515,0.5003030303030302
뚜레쥬르,20,0,0.6315151515151515,0.5003030303030302
롤링핀,20,0,0.6315151515151515,0.5003030303030302
명랑시대쌀핫도그,20,0,0.6315151515151515,0.5003030303030302
못난이꽈배기,20,0,0.6315151515151515,0.5003030303030302
보리원,20,0,0.6315151515151515,0.5003030303030302
복호두,20,0,0.6315151515151515,0.5003030303030302
브레댄코(bread&co.DAILY-NEW),20,0,0.6315151515151515,0.5003030303030302
빵굼터,20,0,0.6315151515151515,0.5003030303030302
빵장수단팥빵,20,0,0.6315151515151515,0.5003030303030302
삼송빵집,20,0,0.6315151515151515,0.5003030303030302
소림사,20,0,0.6315151515151515,0.5003030303030302
스트릿츄러스,20,0,0.6315151515151515,0.5003030303030302
심봉사도로케,20,0,0.6315151515151515,0.5003030303030302
올드몬트베이글,20,0,0.6315151515151515,0.5003030303030302
크리스피크림,20,0,0.6315151515151515,0.5003030303030302
파리바게뜨,20,0,0.6315151515151515,0.5003030303030302
핫브레드 ,20,0,0.6315151515151515,0.5003030303030302
호두당,20,0,0.6315151515151515,0.5003030303030302
호밀호두,20,0,0.6315151515151515,0.5003030303030302
화이트리에,20,0,0.6315151515151515,0.5003030303030302
