brand_id,brand_name,core_item_median_price,core_item_price_iqr,observed_menu_count,bread_share,donut_share,cake_dessert_share,beverage_share,meal_sandwich_share,hotdog_snack_share,gift_pack_share,other_menu_share,takeout_focus,dine_in_focus,delivery_available,special_location_focus,price_tier_within_category,structured_context_ready
BRD_20220253,곤트란쉐리에(Gontran Cherrier),,,,,,,,,,,,,,,,,False
BRD_20120100621,더베이크,,,,,,,,,,,,,,,,,False
BRD_20080500016,던킨/던킨도너츠,,,,,,,,,,,,,,,,,False
BRD_20250749,디에그,,,,,,,,,,,,,,,,,False
BRD_20080100039,뚜레쥬르,,,,,,,,,,,,,,,,,False
BRD_20140306,롤링핀,,,,,,,,,,,,,,,,,False
BRD_20161137,명랑시대쌀핫도그,,,,,,,,,,,,,,,,,False
BRD_20150085,못난이꽈배기,,,,,,,,,,,,,,,,,False
BRD_20240814,보리원,,,,,,,,,,,,,,,,,False
BRD_20212010,복호두,,,,,,,,,,,,,,,,,False
BRD_20080200287,브레댄코(bread&co.DAILY-NEW),,,,,,,,,,,,,,,,,False
BRD_20260378,빵굼터,,,,,,,,,,,,,,,,,False
BRD_20150052,빵장수단팥빵,,,,,,,,,,,,,,,,,False
BRD_20211367,삼송빵집,,,,,,,,,,,,,,,,,False
BRD_20230468,소림사,,,,,,,,,,,,,,,,,False
BRD_20140288,스트릿츄러스,,,,,,,,,,,,,,,,,False
BRD_20160521,심봉사도로케,,,,,,,,,,,,,,,,,False
BRD_20240723,올드몬트베이글,,,,,,,,,,,,,,,,,False
BRD_20140778,크리스피크림,,,,,,,,,,,,,,,,,False
BRD_20080200064,파리바게뜨,,,,,,,,,,,,,,,,,False
BRD_20170827,핫브레드 ,,,,,,,,,,,,,,,,,False
BRD_20201275,호두당,,,,,,,,,,,,,,,,,False
BRD_20080100675,호밀호두,,,,,,,,,,,,,,,,,False
BRD_20240478,화이트리에,,,,,,,,,,,,,,,,,False
