brand_id,brand_name,official_brand_url,official_menu_url,official_franchise_url,menu_source_type,source_checked_date,brand_description_text,store_format_evidence,special_location_evidence,manual_review_status,evidence_note
BRD_20220253,곤트란쉐리에(Gontran Cherrier),,,,,,,,,not_started,
BRD_20120100621,더베이크,,,,,,,,,not_started,
BRD_20080500016,던킨/던킨도너츠,,,,,,,,,not_started,
BRD_20250749,디에그,,,,,,,,,not_started,
BRD_20080100039,뚜레쥬르,,,,,,,,,not_started,
BRD_20140306,롤링핀,,,,,,,,,not_started,
BRD_20161137,명랑시대쌀핫도그,,,,,,,,,not_started,
BRD_20150085,못난이꽈배기,,,,,,,,,not_started,
BRD_20240814,보리원,,,,,,,,,not_started,
BRD_20212010,복호두,,,,,,,,,not_started,
BRD_20080200287,브레댄코(bread&co.DAILY-NEW),,,,,,,,,not_started,
BRD_20260378,빵굼터,,,,,,,,,not_started,
BRD_20150052,빵장수단팥빵,,,,,,,,,not_started,
BRD_20211367,삼송빵집,,,,,,,,,not_started,
BRD_20230468,소림사,,,,,,,,,not_started,
BRD_20140288,스트릿츄러스,,,,,,,,,not_started,
BRD_20160521,심봉사도로케,,,,,,,,,not_started,
BRD_20240723,올드몬트베이글,,,,,,,,,not_started,
BRD_20140778,크리스피크림,,,,,,,,,not_started,
BRD_20080200064,파리바게뜨,,,,,,,,,not_started,
BRD_20170827,핫브레드 ,,,,,,,,,not_started,
BRD_20201275,호두당,,,,,,,,,not_started,
BRD_20080100675,호밀호두,,,,,,,,,not_started,
BRD_20240478,화이트리에,,,,,,,,,not_started,
