brand_id,brand_name,source_count,fetched_source_count,official_social_only,context_text_length,context_text_available,raw_price_candidate_count,direct_price_observed,menu_bread,menu_pastry,menu_cake_dessert,menu_coffee_beverage,menu_sandwich_meal,menu_donut,menu_hotdog,menu_walnut,menu_croquette,menu_churros,menu_bagel,menu_takeout,menu_gift,text_tfidf_svd_01,text_tfidf_svd_02,text_tfidf_svd_03,text_tfidf_svd_04,text_tfidf_svd_05,text_tfidf_svd_06,text_tfidf_svd_07,text_tfidf_svd_08
BRD_20080100039,뚜레쥬르,1,1,False,3774,True,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24897622128510868,-0.5870424075279022,0.43792085678384335,-0.031355876844182624,0.2802743655251634,-0.1578893039444882,0.076497622814285,0.12176622805482071
BRD_20080100675,호밀호두,2,0,False,0,False,0,False,,,,,,,,,,,,,,,,,,,,,
BRD_20080200064,파리바게뜨,2,2,False,5988,True,2,True,18.0,1.0,59.0,25.0,42.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0,9.0,-0.54634145302122,-0.34447382373105523,-0.36791965336934906,0.06606861554288775,-0.012165581637895542,0.09154909608604592,0.09298809284307988,0.015936897935502185
BRD_20080200287,브레댄코(bread&co.DAILY-NEW),1,1,False,2280,True,0,False,10.0,0.0,9.0,26.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-0.49994112074423885,-0.18880631838919998,-0.4698852758829687,-0.008933004565325904,-0.19531179199909873,-0.16464372358348148,-0.025646009510705906,-0.15028807816814088
BRD_20080500016,던킨/던킨도너츠,2,2,False,1691,True,0,False,1.0,0.0,3.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,-0.45001556745280175,-0.23995658437245856,-0.2549439538151795,-0.020638574284838153,-0.15824881355794618,0.2329750418468325,0.27196346449838893,0.44850481811369153
BRD_20120100621,더베이크,2,0,False,0,False,0,False,,,,,,,,,,,,,,,,,,,,,
BRD_20140288,스트릿츄러스,2,2,False,2955,True,0,False,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,-0.4993958911910549,-0.07661629662887526,0.11706158494113018,-0.1848760093362329,-0.35167683958887946,0.2824142086109133,-0.3333023974267137,-0.30822873829901853
BRD_20140306,롤링핀,2,2,False,492,True,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04823828776763575,-0.0004473165814974152,0.1265861703766164,0.8667577348067453,-0.19563974064237413,0.07226261277945556,-0.20980965532483395,0.22900434438687317
BRD_20140778,크리스피크림,1,1,False,1290,True,8,True,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,-0.3225697505172406,0.12245381543944649,-0.3476834574170537,0.1272461595792551,0.5210606614328316,-0.36396419642111466,-0.4453461418714803,-0.022989974184551672
BRD_20150052,빵장수단팥빵,1,1,True,9,False,0,False,,,,,,,,,,,,,,,,,,,,,
BRD_20150085,못난이꽈배기,1,1,False,6,False,0,False,,,,,,,,,,,,,,,,,,,,,
BRD_20160521,심봉사도로케,1,1,False,3144,True,0,False,4.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,54.0,0.0,0.0,2.0,0.0,-0.4126398013569137,0.41355404229985054,0.2490246832672542,0.0389668113567094,-0.08584170201795863,-0.3286121393644202,0.30825943961381924,-0.2749164418324397
BRD_20161137,명랑시대쌀핫도그,1,1,False,3848,True,0,False,2.0,0.0,0.0,0.0,0.0,2.0,59.0,0.0,0.0,0.0,0.0,1.0,14.0,-0.5714556327515062,0.10656430788692255,-0.24340229788664644,0.007413140539586082,-0.014405300516185679,-0.09392018672409705,0.19844596179919252,-0.14761731080596718
