brand_id_a,brand_a,brand_id_b,brand_b,shared_top10_areas,jaccard_top10
BRD_20250749,디에그,BRD_20260378,빵굼터,10,1.0
BRD_20140306,롤링핀,BRD_20240814,보리원,10,1.0
BRD_20201275,호두당,BRD_20260378,빵굼터,9,0.8181818181818182
BRD_20120100621,더베이크,BRD_20170827,핫브레드 ,9,0.8181818181818182
BRD_20140306,롤링핀,BRD_20201275,호두당,9,0.8181818181818182
BRD_20140306,롤링핀,BRD_20240723,올드몬트베이글,9,0.8181818181818182
BRD_20140306,롤링핀,BRD_20250749,디에그,9,0.8181818181818182
BRD_20080500016,던킨/던킨도너츠,BRD_20140288,스트릿츄러스,9,0.8181818181818182
BRD_20201275,호두당,BRD_20240814,보리원,9,0.8181818181818182
BRD_20201275,호두당,BRD_20250749,디에그,9,0.8181818181818182
BRD_20140306,롤링핀,BRD_20260378,빵굼터,9,0.8181818181818182
BRD_20240814,보리원,BRD_20250749,디에그,9,0.8181818181818182
BRD_20240723,올드몬트베이글,BRD_20240814,보리원,9,0.8181818181818182
BRD_20240814,보리원,BRD_20260378,빵굼터,9,0.8181818181818182
BRD_20211367,삼송빵집,BRD_20250749,디에그,8,0.6666666666666666
BRD_20140288,스트릿츄러스,BRD_20240814,보리원,8,0.6666666666666666
BRD_20140288,스트릿츄러스,BRD_20170827,핫브레드 ,8,0.6666666666666666
BRD_20140288,스트릿츄러스,BRD_20150085,못난이꽈배기,8,0.6666666666666666
BRD_20140288,스트릿츄러스,BRD_20140306,롤링핀,8,0.6666666666666666
BRD_20120100621,더베이크,BRD_20150052,빵장수단팥빵,8,0.6666666666666666
BRD_20120100621,더베이크,BRD_20140778,크리스피크림,8,0.6666666666666666
BRD_20080500016,던킨/던킨도너츠,BRD_20260378,빵굼터,8,0.6666666666666666
BRD_20080500016,던킨/던킨도너츠,BRD_20250749,디에그,8,0.6666666666666666
BRD_20080500016,던킨/던킨도너츠,BRD_20240814,보리원,8,0.6666666666666666
BRD_20080500016,던킨/던킨도너츠,BRD_20240723,올드몬트베이글,8,0.6666666666666666
