TRDAR_CD,TRDAR_CD_NM,TRDAR_SE_CD,TRDAR_SE_CD_NM,recent_4q_period_rows,recent_4q_sales_observed_q,recent_4q_positive_store_q,recent_4q_total_sales_won,recent_4q_total_transactions,recent_4q_avg_store_count,recent_4q_complete_observation,recent_4q_sales_per_store_won,recent_4q_average_ticket_won,prior_year_4q_period_rows,prior_year_4q_sales_observed_q,prior_year_4q_positive_store_q,prior_year_4q_total_sales_won,prior_year_4q_total_transactions,prior_year_4q_avg_store_count,prior_year_4q_complete_observation,prior_year_4q_sales_per_store_won,prior_year_4q_average_ticket_won,recent_4q_vs_prior_year_pct,seoul_observed_percentile,top_10pct_by_recent_actual,display_metric_name,display_period,forecast_available,forecast_status
3110094,오산중학교,A,골목상권,4,0,4,0.0,0.0,3.0,0,,,4.0,0.0,4.0,0.0,0.0,3.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110104,신금호역 4번,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,4.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110105,금동어린이공원,A,골목상권,4,0,4,0.0,0.0,1.5,0,,,4.0,0.0,4.0,0.0,0.0,2.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110106,금북초등학교,A,골목상권,4,0,4,0.0,0.0,2.0,0,,,4.0,0.0,4.0,0.0,0.0,2.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110109,금호삼성래미안아파트,A,골목상권,3,0,3,0.0,0.0,1.0,0,,,,,,,,,,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110110,상왕십리역 6번,A,골목상권,4,0,4,0.0,0.0,2.0,0,,,4.0,0.0,4.0,0.0,0.0,2.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110112,행당역 2번,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,4.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110113,응봉산,A,골목상권,4,0,0,0.0,0.0,0.0,0,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110115,상왕십리역 3번,A,골목상권,4,3,4,12172528.0,1107.0,4.5,0,,,4.0,0.0,4.0,0.0,0.0,4.5,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110118,왕십리역 9번,A,골목상권,4,0,4,0.0,0.0,1.25,0,,,4.0,0.0,4.0,0.0,0.0,2.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110120,서울숲카페거리,A,골목상권,4,0,4,0.0,0.0,12.0,0,,,4.0,0.0,4.0,0.0,0.0,13.25,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110121,한양대역 4번,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,,,,,,,,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110122,마장역 2번,A,골목상권,4,0,0,0.0,0.0,0.0,0,,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
3110123,마장역 3번,A,골목상권,4,0,4,0.0,0.0,1.0,0,,,4.0,0.0,4.0,0.0,0.0,1.0,0.0,,,,,0,최근 4개 분기 실제 점포당 제과매출환경,20253~20262,0,NO_QUALIFIED_FORECAST_MODEL
