TRDAR_CD,TRDAR_CD_NM,TRDAR_SE_CD_NM,display_as_of,display_window,recent_4q_sales_per_store_won,seoul_observed_percentile,actual_market_level,recent_4q_vs_prior_year_pct,year_over_year_trend,recent_4q_avg_store_count,recent_4q_quarterly_variation_pct,quarterly_variation_flag,observation_scope,metric_interpretation,permitted_decision_use,prohibited_interpretation,forecast_status
3120068,사가정역,발달상권,2026Q2,2025Q3~2026Q2 실제 관측,3723924576.0,100.0,관측 상권 상위 10%,-3.4098301351359606,전년동기 수준 유지,1.0,3.5788917547684043,분기별 변동 보통,"서울 최신 점포 관측 상권 1,186개 중 최근 4분기 매출·점포가 모두 관측된 399개 상권",기존 제과점의 최근 4분기 총매출을 평균 점포 수로 나눈 실제 과거 매출환경,현재 시장규모 확인 및 후보 상권 1차 선별,신규 브랜드 점포의 미래 매출예측 또는 출점 확정 근거로 단독 사용 금지,통과한 미래 매출예측모델 없음
3130170,제일시장,전통시장,2026Q2,2025Q3~2026Q2 실제 관측,3680833661.0,99.74937343358395,관측 상권 상위 10%,-6.676359867703418,전년동기 수준 유지,3.0,9.400666499505668,분기별 변동 보통,"서울 최신 점포 관측 상권 1,186개 중 최근 4분기 매출·점포가 모두 관측된 399개 상권",기존 제과점의 최근 4분기 총매출을 평균 점포 수로 나눈 실제 과거 매출환경,현재 시장규모 확인 및 후보 상권 1차 선별,신규 브랜드 점포의 미래 매출예측 또는 출점 확정 근거로 단독 사용 금지,통과한 미래 매출예측모델 없음
3130147,쌍문역동측상점가,전통시장,2026Q2,2025Q3~2026Q2 실제 관측,3322771180.923077,99.49874686716792,관측 상권 상위 10%,245.4016008200119,전년동기 대비 증가,3.25,4.453326232778359,분기별 변동 보통,"서울 최신 점포 관측 상권 1,186개 중 최근 4분기 매출·점포가 모두 관측된 399개 상권",기존 제과점의 최근 4분기 총매출을 평균 점포 수로 나눈 실제 과거 매출환경,현재 시장규모 확인 및 후보 상권 1차 선별,신규 브랜드 점포의 미래 매출예측 또는 출점 확정 근거로 단독 사용 금지,통과한 미래 매출예측모델 없음
3111044,남천초등학교,골목상권,2026Q2,2025Q3~2026Q2 실제 관측,2881292394.0,99.24812030075188,관측 상권 상위 10%,29.87268973517199,전년동기 대비 증가,1.0,4.320885598700294,분기별 변동 보통,"서울 최신 점포 관측 상권 1,186개 중 최근 4분기 매출·점포가 모두 관측된 399개 상권",기존 제과점의 최근 4분기 총매출을 평균 점포 수로 나눈 실제 과거 매출환경,현재 시장규모 확인 및 후보 상권 1차 선별,신규 브랜드 점포의 미래 매출예측 또는 출점 확정 근거로 단독 사용 금지,통과한 미래 매출예측모델 없음
3120061,올림픽대교북단,발달상권,2026Q2,2025Q3~2026Q2 실제 관측,2785222949.3333335,98.99749373433583,관측 상권 상위 10%,-38.47292074939978,전년동기 대비 감소,1.5,36.91962879612346,분기별 변동 주의,"서울 최신 점포 관측 상권 1,186개 중 최근 4분기 매출·점포가 모두 관측된 399개 상권",기존 제과점의 최근 4분기 총매출을 평균 점포 수로 나눈 실제 과거 매출환경,현재 시장규모 확인 및 후보 상권 1차 선별,신규 브랜드 점포의 미래 매출예측 또는 출점 확정 근거로 단독 사용 금지,통과한 미래 매출예측모델 없음
3120069,상봉역,발달상권,2026Q2,2025Q3~2026Q2 실제 관측,2400956320.0,98.74686716791979,관측 상권 상위 10%,319.81428889449444,전년동기 대비 증가,2.75,15.539790770035419,분기별 변동 보통,"서울 최신 점포 관측 상권 1,186개 중 최근 4분기 매출·점포가 모두 관측된 399개 상권",기존 제과점의 최근 4분기 총매출을 평균 점포 수로 나눈 실제 과거 매출환경,현재 시장규모 확인 및 후보 상권 1차 선별,신규 브랜드 점포의 미래 매출예측 또는 출점 확정 근거로 단독 사용 금지,통과한 미래 매출예측모델 없음
3120120,화곡역,발달상권,2026Q2,2025Q3~2026Q2 실제 관측,1974932929.4117646,98.49624060150376,관측 상권 상위 10%,16.52794591352109,전년동기 대비 증가,4.25,12.778134735615923,분기별 변동 보통,"서울 최신 점포 관측 상권 1,186개 중 최근 4분기 매출·점포가 모두 관측된 399개 상권",기존 제과점의 최근 4분기 총매출을 평균 점포 수로 나눈 실제 과거 매출환경,현재 시장규모 확인 및 후보 상권 1차 선별,신규 브랜드 점포의 미래 매출예측 또는 출점 확정 근거로 단독 사용 금지,통과한 미래 매출예측모델 없음
3120129,구로디지털단지,발달상권,2026Q2,2025Q3~2026Q2 실제 관측,1907394374.6666667,98.24561403508771,관측 상권 상위 10%,1.4251635589542344,전년동기 수준 유지,1.5,36.9987000551179,분기별 변동 주의,"서울 최신 점포 관측 상권 1,186개 중 최근 4분기 매출·점포가 모두 관측된 399개 상권",기존 제과점의 최근 4분기 총매출을 평균 점포 수로 나눈 실제 과거 매출환경,현재 시장규모 확인 및 후보 상권 1차 선별,신규 브랜드 점포의 미래 매출예측 또는 출점 확정 근거로 단독 사용 금지,통과한 미래 매출예측모델 없음
3120241,거여역,발달상권,2026Q2,2025Q3~2026Q2 실제 관측,1798321406.0,97.99498746867168,관측 상권 상위 10%,4.033730560874682,전년동기 수준 유지,1.0,9.991590822306955,분기별 변동 보통,"서울 최신 점포 관측 상권 1,186개 중 최근 4분기 매출·점포가 모두 관측된 399개 상권",기존 제과점의 최근 4분기 총매출을 평균 점포 수로 나눈 실제 과거 매출환경,현재 시장규모 확인 및 후보 상권 1차 선별,신규 브랜드 점포의 미래 매출예측 또는 출점 확정 근거로 단독 사용 금지,통과한 미래 매출예측모델 없음
3120133,서울시흥동우체국(홈플러스시흥점),발달상권,2026Q2,2025Q3~2026Q2 실제 관측,1689246651.3333333,97.74436090225564,관측 상권 상위 10%,-32.21562737119793,전년동기 대비 감소,1.5,33.858376056702184,분기별 변동 주의,"서울 최신 점포 관측 상권 1,186개 중 최근 4분기 매출·점포가 모두 관측된 399개 상권",기존 제과점의 최근 4분기 총매출을 평균 점포 수로 나눈 실제 과거 매출환경,현재 시장규모 확인 및 후보 상권 1차 선별,신규 브랜드 점포의 미래 매출예측 또는 출점 확정 근거로 단독 사용 금지,통과한 미래 매출예측모델 없음
