service,name_col,open_col,close_col,status_col,address_col,manage_col,all_columns
LOCALDATA_072404,BPLCNM,APVPERMYMD,,DTLSTATEGBN,SITEWHLADDR,,"OPNSFTEAMCODE, MGTNO, APVPERMYMD, TRDSTATEGBN, TRDSTATENM, DTLSTATEGBN, DTLSTATENM, DCBYMD, SITETEL, SITEAREA, SITEPOSTNO, SITEWHLADDR, RDNWHLADDR, RDNPOSTNO, BPLCNM, LASTMODTS, UPDATEGBN, UPDATEDT, UPTAENM, X, Y, SNTUPTAENM, MANEIPCNT, WMEIPCNT, TRDPJUBNSENM, LVSENM, WTRSPLYFACILSENM, HOFFEPCNT, FCTYOWKEPCNT, FCTYSILJOBEPCNT, FCTYPDTJOBEPCNT, BDNGOWNSENM, ISREAM, MONAM, MULTUSNUPSOYN, FACILTOTSCP, JTUPSOASGNNO, JTUPSOMAINEDF, HOMEPAGE"
LOCALDATA_072405,BPLCNM,APVPERMYMD,,DTLSTATEGBN,SITEWHLADDR,,"OPNSFTEAMCODE, MGTNO, APVPERMYMD, TRDSTATEGBN, TRDSTATENM, DTLSTATEGBN, DTLSTATENM, DCBYMD, SITETEL, SITEAREA, SITEPOSTNO, SITEWHLADDR, RDNWHLADDR, RDNPOSTNO, BPLCNM, LASTMODTS, UPDATEGBN, UPDATEDT, UPTAENM, X, Y, SNTUPTAENM, MANEIPCNT, WMEIPCNT, TRDPJUBNSENM, LVSENM, WTRSPLYFACILSENM, HOFFEPCNT, FCTYOWKEPCNT, FCTYSILJOBEPCNT, FCTYPDTJOBEPCNT, BDNGOWNSENM, ISREAM, MONAM, MULTUSNUPSOYN, FACILTOTSCP, JTUPSOASGNNO, JTUPSOMAINEDF, HOMEPAGE"
