area_id,area_name,ccg_id_model,bakery_thsmon_selng_amt,bakery_thsmon_selng_co,bakery_avg_ticket,market_opportunity_score,bc_female_share_amt,bc_foreign_share_amt,bc_corporate_share_amt,bc_age_cd_1_share_amt,bc_age_cd_2_share_amt,bc_age_cd_3_share_amt,bc_age_cd_4_share_amt,bc_age_cd_5_share_amt,bc_age_cd_6_share_amt,brand_id,brand_name,brand_dna_affinity_score,brand_already_present_in_area,same_brand_nearest_distance_m,bakery_competitor_nearest_m_excl_brand,bakery_competitor_count_500m_excl_brand,bakery_competitor_count_1000m_excl_brand,competition_risk_score,eligible_new_opening,score_brand_fit_first,score_balanced,score_market_first,rank_brand_fit_first,rank_balanced,rank_market_first,robust_rank,pareto_front_da,store_size_recommendation,store_size_note,area_dna_distance,area_dna_fit_score,profile_status,eligible_new_opening_fit_first,scenario,scenario_eligible,fit_first_score,fit_first_rank
3120188,압구정역,11680,1784647410.0,134975.0,13222.058973884052,0.9404157043879908,0.7817460317460317,0.18253968253968253,0.75,0.6468253968253969,0.8531746031746031,0.9206349206349206,0.4365079365079365,0.027777777777777776,0.4880952380952381,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.9214780600461894,False,791.0935469567722,98.31073190628577,25,97,0.5323325635103926,True,0.9271593533487297,0.9309468822170901,0.9347344110854503,9.0,4.0,7.0,6.666666666666667,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.4268908830610167,0.9815242494226328,usable_area_profile,True,balanced,True,0.7400577367205543,1.0
3120166,방배역,11650,1455145059.0,122673.0,11861.983150326478,0.9176674364896074,0.7619047619047619,0.2857142857142857,0.7023809523809523,0.6785714285714286,0.8293650793650794,0.7777777777777778,0.42857142857142855,0.08333333333333333,0.5198412698412699,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.9780600461893765,False,1819.7214072476397,99.2975326976693,12,28,0.2678983833718245,True,0.9599422632794457,0.9478637413394919,0.935785219399538,3.0,3.0,6.0,4.0,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.5876605016838531,0.9030023094688222,usable_area_profile,True,balanced,True,0.7324999999999999,2.0
3120009,종로3가역,11110,773341001.0,64864.0,11922.499398741984,0.8273672055427251,0.876984126984127,0.42857142857142855,0.503968253968254,0.75,0.9444444444444444,0.8531746031746031,0.2619047619047619,0.05952380952380952,0.3611111111111111,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.7136258660508084,False,1694.8687265053368,125.80143085865113,24,103,0.45381062355658197,True,0.7477482678983833,0.7704965357967668,0.79324480369515,70.0,48.0,40.0,52.666666666666664,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.3581728422365785,0.9907621247113164,usable_area_profile,True,balanced,True,0.7168879907621246,3.0
3120201,도곡1동,11680,649721874.0,58337.0,11137.38920410717,0.7846420323325634,0.7817460317460317,0.18253968253968253,0.75,0.6468253968253969,0.8531746031746031,0.9206349206349206,0.4365079365079365,0.027777777777777776,0.4880952380952381,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.9214780600461894,False,504.2786927865908,87.09190547353441,10,64,0.2644341801385681,True,0.8804272517321015,0.8530600461893764,0.825692840646651,21.0,24.0,30.0,25.0,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.5008925104151823,0.9607390300230947,usable_area_profile,True,balanced,True,0.7153290993071594,4.0
3130072,성동용답상가시장,11200,441220675.0,42751.0,10320.710041870365,0.6748267898383372,0.9206349206349206,0.38492063492063494,0.5555555555555556,0.9920634920634921,0.9841269841269841,0.9563492063492064,0.10317460317460317,0.015873015873015872,0.07936507936507936,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.15704387990762125,False,2087.860388036934,135.0925608781212,10,28,0.1489607390300231,True,0.31237875288683603,0.41593533487297923,0.5194919168591223,323.0,261.0,192.0,258.6666666666667,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.40386317348965867,0.9838337182448037,usable_area_profile,True,balanced,True,0.7057621247113164,5.0
3120107,공덕역(공덕오거리),11440,1051109080.0,111230.0,9449.870358716174,0.8578521939953809,0.9404761904761905,0.4246031746031746,0.5833333333333334,0.9642857142857143,0.9880952380952381,0.9841269841269841,0.1111111111111111,0.011904761904761904,0.051587301587301584,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.10969976905311778,False,3001.075973698278,80.05623025110103,24,77,0.5762124711316398,True,0.3341454965357967,0.48377598152424933,0.6334064665127019,310.0,211.0,122.0,214.33333333333334,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.4311497730043973,0.976905311778291,usable_area_profile,True,balanced,True,0.7022690531177829,6.0
3120038,약수역,11140,1550178516.0,134777.0,11501.803096967584,0.9235565819861433,0.873015873015873,0.5793650793650794,0.6428571428571429,0.34523809523809523,0.8571428571428571,0.8214285714285714,0.0873015873015873,0.023809523809523808,0.8293650793650794,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.2702078521939954,False,1853.5320337325807,62.64183906448842,18,44,0.5502309468822171,True,0.46621247113163977,0.5968822170900694,0.7275519630484989,226.0,135.0,67.0,142.66666666666666,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.5664851038592432,0.9191685912240185,usable_area_profile,True,balanced,True,0.7002944572748269,7.0
3120175,남부터미널역,11650,960650667.0,103198.0,9308.810897498013,0.8390300230946882,0.7619047619047619,0.2857142857142857,0.7023809523809523,0.6785714285714286,0.8293650793650794,0.7777777777777778,0.42857142857142855,0.08333333333333333,0.5198412698412699,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.9780600461893765,False,842.0077197141321,49.929950906089985,13,45,0.4826789838337182,True,0.93635103926097,0.9085450346420323,0.8807390300230946,6.0,11.0,18.0,11.666666666666666,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.5585627675959842,0.930715935334873,usable_area_profile,True,balanced,True,0.6866166281755196,8.0
3110883,은천초등학교(은천교앞),11620,384324031.0,36658.0,10484.042528233946,0.6409930715935335,0.6944444444444444,0.5833333333333334,0.49603174603174605,0.8611111111111112,0.9801587301587301,0.8690476190476191,0.027777777777777776,0.051587301587301584,0.3412698412698413,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.34988452655889146,False,4643.2146192267655,165.06059494972328,13,69,0.17898383371824483,True,0.43721709006928405,0.49543879907621247,0.5536605080831408,241.0,206.0,178.0,208.33333333333334,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.4716029395365746,0.9699769053117783,usable_area_profile,True,balanced,True,0.6824884526558891,9.0
3110892,관악구 중앙길,11620,913081619.0,87290.0,10460.323278726086,0.8403002309468822,0.6944444444444444,0.5833333333333334,0.49603174603174605,0.8611111111111112,0.9801587301587301,0.8690476190476191,0.027777777777777776,0.051587301587301584,0.3412698412698413,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.34988452655889146,False,4282.11221247158,165.92166821826325,24,76,0.39838337182448036,True,0.4970092378752886,0.5950923787528868,0.693175519630485,200.0,137.0,85.0,140.66666666666666,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.6000870308314572,0.8914549653579676,usable_area_profile,True,balanced,True,0.6800750577367206,10.0
