area_id,area_name,ccg_id_model,bakery_thsmon_selng_amt,bakery_thsmon_selng_co,bakery_avg_ticket,market_opportunity_score,bc_female_share_amt,bc_foreign_share_amt,bc_corporate_share_amt,bc_age_cd_1_share_amt,bc_age_cd_2_share_amt,bc_age_cd_3_share_amt,bc_age_cd_4_share_amt,bc_age_cd_5_share_amt,bc_age_cd_6_share_amt,brand_id,brand_name,brand_dna_affinity_score,brand_already_present_in_area,same_brand_nearest_distance_m,bakery_competitor_nearest_m_excl_brand,bakery_competitor_count_500m_excl_brand,bakery_competitor_count_1000m_excl_brand,competition_risk_score,eligible_new_opening,score_brand_fit_first,score_balanced,score_market_first,rank_brand_fit_first,rank_balanced,rank_market_first,robust_rank,pareto_front_da,store_size_recommendation,store_size_note,area_dna_distance,area_dna_fit_score,profile_status,eligible_new_opening_fit_first,scenario,scenario_eligible,fit_first_score,fit_first_rank,area_fit_mean,area_fit_std,relative_brand_advantage_raw,relative_brand_advantage_score,absolute_fit_pass,contrastive_eligible,contrastive_score,contrastive_rank
3120201,도곡1동,11680,649721874.0,58337.0,11137.38920410717,0.7846420323325634,0.7817460317460317,0.18253968253968253,0.75,0.6468253968253969,0.8531746031746031,0.9206349206349206,0.4365079365079365,0.027777777777777776,0.4880952380952381,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.9214780600461894,False,504.2786927865908,87.09190547353441,10,64,0.2644341801385681,True,0.8804272517321015,0.8530600461893764,0.825692840646651,21.0,24.0,30.0,25.0,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.5008925104151823,0.9607390300230947,usable_area_profile,True,balanced,True,0.7153290993071594,4.0,0.8283294842186297,0.06578741047462766,2.0126882157116,0.9861431870669746,True,True,0.8784064665127019,1.0
3110943,법제교육센터(버들어린이공원),11650,849985150.0,98576.0,8622.637863171563,0.812471131639723,0.7619047619047619,0.2857142857142857,0.7023809523809523,0.6785714285714286,0.8293650793650794,0.7777777777777778,0.42857142857142855,0.08333333333333333,0.5198412698412699,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.9780600461893765,False,2292.031413415874,67.35725648954265,25,54,0.6466512702078522,True,0.9283833718244804,0.8952655889145498,0.862147806004619,7.0,15.0,21.0,14.333333333333334,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.49447806412681716,0.9653579676674365,usable_area_profile,True,balanced,True,0.6700461893764436,14.0,0.8574865280985374,0.06302143766630533,1.7116626272487119,0.9515011547344111,True,True,0.8169515011547345,2.0
3130147,쌍문역동측상점가,11320,2520521582.0,295704.0,8523.799414279145,0.8990762124711316,0.7182539682539683,0.11904761904761904,0.6071428571428571,0.25793650793650796,0.3611111111111111,0.24603174603174602,0.19047619047619047,0.4246031746031746,0.9126984126984127,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.03579676674364896,False,7608.334508922631,76.05918750239688,27,48,0.6385681293302541,True,0.29478060046189375,0.46743648960739026,0.6400923787528868,335.0,222.0,119.0,225.33333333333334,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.6968078858662622,0.8083140877598153,usable_area_profile,True,balanced,True,0.6230484988452656,33.0,0.6961123941493456,0.054715264551979156,2.050647009188429,0.9884526558891455,True,True,0.8118129330254041,3.0
3120188,압구정역,11680,1784647410.0,134975.0,13222.058973884052,0.9404157043879908,0.7817460317460317,0.18253968253968253,0.75,0.6468253968253969,0.8531746031746031,0.9206349206349206,0.4365079365079365,0.027777777777777776,0.4880952380952381,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.9214780600461894,False,791.0935469567722,98.31073190628577,25,97,0.5323325635103926,True,0.9271593533487297,0.9309468822170901,0.9347344110854503,9.0,4.0,7.0,6.666666666666667,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.4268908830610167,0.9815242494226328,usable_area_profile,True,balanced,True,0.7400577367205543,1.0,0.9592956120092379,0.027451419670695573,0.8097445480068952,0.76905311778291,True,True,0.804353348729792,4.0
3120151,보라매공원,11590,648870341.0,67412.0,9625.442665994186,0.7726327944572748,0.8611111111111112,0.5158730158730159,0.42857142857142855,0.753968253968254,0.9563492063492064,0.6626984126984127,0.11507936507936507,0.09523809523809523,0.5674603174603174,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.4792147806004619,False,5082.831494373608,16.492422502230646,17,70,0.7118937644341802,True,0.5672401847575058,0.6259237875288683,0.684607390300231,160.0,112.0,93.0,121.66666666666667,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.36217878850681606,0.9884526558891455,usable_area_profile,True,balanced,True,0.6578637413394919,19.0,0.9259045419553503,0.04022615119855289,1.5549117196189863,0.9422632794457275,True,True,0.7984468822170901,5.0
3120062,신설동역,11230,583819931.0,56521.0,10329.256931052176,0.748498845265589,0.6904761904761905,0.5396825396825397,0.5714285714285714,0.9603174603174603,0.9126984126984127,0.4087301587301587,0.1865079365079365,0.09126984126984126,0.6825396825396826,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.31524249422632794,False,773.3104163069894,109.76793705062819,8,36,0.16743648960739027,True,0.4452193995381062,0.5318706697459584,0.6185219399538107,238.0,178.0,129.0,181.66666666666666,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.6400866601208315,0.8614318706697459,usable_area_profile,True,balanced,True,0.6675750577367205,15.0,0.7826212471131639,0.07792402283278821,1.0113777586367205,0.8244803695150116,True,True,0.7876558891454966,6.0
3120205,매봉역,11680,580733796.0,60594.0,9584.014852955737,0.7444572748267898,0.7817460317460317,0.18253968253968253,0.75,0.6468253968253969,0.8531746031746031,0.9206349206349206,0.4365079365079365,0.027777777777777776,0.4880952380952381,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.9214780600461894,False,1178.9016074449341,70.4911341990284,16,64,0.4676674364896074,True,0.8683718244803694,0.8329676674364896,0.7975635103926095,25.0,29.0,37.0,30.333333333333332,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.5325718699211961,0.9445727482678984,usable_area_profile,True,balanced,True,0.6626963048498845,18.0,0.855080831408776,0.08079051653086988,1.1077032392153072,0.8637413394919169,True,True,0.7820554272517322,7.0
3120107,공덕역(공덕오거리),11440,1051109080.0,111230.0,9449.870358716174,0.8578521939953809,0.9404761904761905,0.4246031746031746,0.5833333333333334,0.9642857142857143,0.9880952380952381,0.9841269841269841,0.1111111111111111,0.011904761904761904,0.051587301587301584,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.10969976905311778,False,3001.075973698278,80.05623025110103,24,77,0.5762124711316398,True,0.3341454965357967,0.48377598152424933,0.6334064665127019,310.0,211.0,122.0,214.33333333333334,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.4311497730043973,0.976905311778291,usable_area_profile,True,balanced,True,0.7022690531177829,6.0,0.9156081601231717,0.06710078505723298,0.9135087108569067,0.7944572748267898,True,True,0.7817782909930715,8.0
3120166,방배역,11650,1455145059.0,122673.0,11861.983150326478,0.9176674364896074,0.7619047619047619,0.2857142857142857,0.7023809523809523,0.6785714285714286,0.8293650793650794,0.7777777777777778,0.42857142857142855,0.08333333333333333,0.5198412698412699,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.9780600461893765,False,1819.7214072476397,99.2975326976693,12,28,0.2678983833718245,True,0.9599422632794457,0.9478637413394919,0.935785219399538,3.0,3.0,6.0,4.0,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.5876605016838531,0.9030023094688222,usable_area_profile,True,balanced,True,0.7324999999999999,2.0,0.8795227097767513,0.05651551828195008,0.4154540275988202,0.6812933025404158,True,True,0.7785334872979215,9.0
3111090,강일동주민센터,11740,428404856.0,36116.0,11861.913168678702,0.6680138568129331,0.8452380952380952,0.06746031746031746,0.7063492063492064,0.38492063492063494,0.6626984126984127,0.7182539682539683,0.5833333333333334,0.06746031746031746,0.6507936507936508,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.7575057736720554,False,9922.732335395305,59.13543778863246,4,13,0.31177829099307164,True,0.7306581986143187,0.7127598152424943,0.6948614318706697,79.0,74.0,82.0,78.33333333333333,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.7324799223876617,0.7829099307159353,usable_area_profile,True,balanced,True,0.5784930715935335,61.0,0.6291377983063895,0.08289762773977448,1.854964208291398,0.9699769053117783,True,True,0.7765011547344112,10.0
3120009,종로3가역,11110,773341001.0,64864.0,11922.499398741984,0.8273672055427251,0.876984126984127,0.42857142857142855,0.503968253968254,0.75,0.9444444444444444,0.8531746031746031,0.2619047619047619,0.05952380952380952,0.3611111111111111,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.7136258660508084,False,1694.8687265053368,125.80143085865113,24,103,0.45381062355658197,True,0.7477482678983833,0.7704965357967668,0.79324480369515,70.0,48.0,40.0,52.666666666666664,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.3581728422365785,0.9907621247113164,usable_area_profile,True,balanced,True,0.7168879907621246,3.0,0.9535219399538106,0.05047087142510804,0.7378549984571833,0.74364896073903,True,True,0.774826789838337,11.0
3120175,남부터미널역,11650,960650667.0,103198.0,9308.810897498013,0.8390300230946882,0.7619047619047619,0.2857142857142857,0.7023809523809523,0.6785714285714286,0.8293650793650794,0.7777777777777778,0.42857142857142855,0.08333333333333333,0.5198412698412699,BRD_20220253,곤트란쉐리에(Gontran Cherrier),0.9780600461893765,False,842.0077197141321,49.929950906089985,13,45,0.4826789838337182,True,0.93635103926097,0.9085450346420323,0.8807390300230946,6.0,11.0,18.0,11.666666666666666,False,direct_size_estimation_deferred,매장 면적·좌석·점포별 매출이 없어 규모별 적합도와 argmax 규모는 산출하지 않음,0.5585627675959842,0.930715935334873,usable_area_profile,True,balanced,True,0.6866166281755196,8.0,0.8356428021555042,0.10952373119230398,0.868059662909378,0.7782909930715936,True,True,0.7698383371824481,12.0
