brand_id,brand_name,source_role,source_quality,usage_rule,source_url,fetch_status,http_status,final_url,page_title,meta_description,visible_text_length,price_candidate_count,price_candidates_raw,strict_error,fallback_error
BRD_20220253,곤트란쉐리에(Gontran Cherrier),brand,official_site,brand_text_and_menu_structure,https://www.gontran.co.kr/,strict_tls_success,200.0,https://www.gontran.co.kr/,곤트란쉐리에,곤트란쉐리에,378,0,,,
BRD_20220253,곤트란쉐리에(Gontran Cherrier),menu,official_site,brand_text_and_menu_structure,https://www.gontran.co.kr/sub/sub03_01.php?cat_no=1,strict_tls_success,200.0,https://www.gontran.co.kr/sub/sub03_01.php?cat_no=1,곤트란쉐리에,곤트란쉐리에,719,0,,,
BRD_20120100621,더베이크,brand,official_site,brand_text_and_menu_structure,https://thebake.co.kr/,fetch_failed,,https://thebake.co.kr/,,,0,0,,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1129)>,HTTP Error 406: Not Acceptable
BRD_20120100621,더베이크,menu,official_site,brand_text_and_menu_structure,https://thebake.co.kr/product.html,fetch_failed,,https://thebake.co.kr/product.html,,,0,0,,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self signed certificate (_ssl.c:1129)>,HTTP Error 406: Not Acceptable
BRD_20080500016,던킨/던킨도너츠,brand,official_site,brand_text_and_menu_structure,https://www.dunkindonuts.co.kr/,strict_tls_success,200.0,https://www.dunkindonuts.co.kr/,던킨 - Laravel,던킨에서 다양한 제품과 프로모션들을 만나보세요!,1006,0,,,
BRD_20080500016,던킨/던킨도너츠,menu,official_site,brand_text_and_menu_structure,https://www.dunkindonuts.co.kr/menu?cat=1,strict_tls_success,200.0,https://www.dunkindonuts.co.kr/menu?cat=1,던킨 - MENU - Laravel,던킨에서 다양한 제품과 프로모션들을 만나보세요!,684,0,,,
BRD_20250749,디에그,social,official_social_only,brand_text_only_no_price,https://www.instagram.com/de_egg_official/,strict_tls_success,200.0,https://www.instagram.com/de_egg_official/,Instagram,,9,0,,,
BRD_20080100039,뚜레쥬르,brand,official_site,brand_text_and_menu_structure,https://m.tlj.co.kr/,strict_tls_success,200.0,https://www.tlj.co.kr:7008/index.asp,"ǰ ϸ Ŀ, , ũ, ġ, ̺Ʈ, ȳ","ǰ ϸ Ŀ, , ũ, ġ, ̺Ʈ, ȳ",3774,0,,,
BRD_20080100039,뚜레쥬르,menu,official_site,brand_text_and_menu_structure,https://m.tlj.co.kr/,strict_tls_success,200.0,https://www.tlj.co.kr:7008/index.asp,"ǰ ϸ Ŀ, , ũ, ġ, ̺Ʈ, ȳ","ǰ ϸ Ŀ, , ũ, ġ, ̺Ʈ, ȳ",3774,0,,,
BRD_20140306,롤링핀,brand,official_site,brand_text_and_menu_structure,https://rollingpin.co.kr/,strict_tls_success,200.0,https://rollingpin.co.kr/,,,0,0,,,
BRD_20140306,롤링핀,menu,official_site,brand_text_and_menu_structure,https://rollingpin.co.kr/default/sub/menu/page01.php,strict_tls_success,200.0,https://rollingpin.co.kr/default/sub/menu/page01.php,ѸɤRollingpin Bakery & CAFE,,492,0,,,
