experiment_id,rank,hit@5,ndcg@5,hit@10,ndcg@10,hit@20,ndcg@20
dna_shrunk_distance,966.6333333333333,0.225,0.20327324383928644,0.2416666666666667,0.208828799394842,0.325,0.23063999277107913
pu_bagged_logistic,414.8333333333333,0.05000000000000001,0.02779426605094945,0.08333333333333333,0.039137704253742,0.09999999999999999,0.043388126095370766
market_total_sales,468.48333333333335,0.06666666666666667,0.035964572404216744,0.075,0.038473155701416586,0.15,0.05699819225612591
dna_shrunk_cosine,596.7333333333333,0.06666666666666667,0.037070492657328265,0.06666666666666667,0.037070492657328265,0.075,0.039109247174980155
market_total_transactions,457.47499999999997,0.03333333333333333,0.016666666666666666,0.08333333333333333,0.031639037636778736,0.15,0.04889937478486667
