period_q,rows,sales_observed_rows,model_eligible_t0_rows
20211,1128,438,433
20212,1139,445,438
20213,1149,452,446
20214,1156,453,449
20221,1163,452,448
20222,1160,455,450
20223,1171,448,443
20224,1174,447,441
20231,1190,445,439
20232,1196,441,435
20233,1198,442,436
20234,1199,436,430
20241,1200,434,428
20242,1196,431,426
20243,1192,430,425
20244,1191,424,419
20251,1193,419,414
20252,1193,418,413
20253,1202,423,419
20254,1196,430,426
20261,1192,430,426
20262,1186,433,429
