prediction,n,wape_pct,mae_won,spearman,top10_vs_median_lift,top10_vs_mean_lift
baseline_current_q_annualized,5122,18.253851868955184,64679956.257243596,0.9679936605162419,6.276524814888596,3.8551892298897386
baseline_trailing_12m_per_store,5122,21.236479060393172,75248476.13232662,0.9602625770857125,6.200533766315401,3.8085137397630247
baseline_same_quarter_last_year_annualized,5122,32.180004926781535,114025320.57149035,0.9162292724029406,5.921367142870346,3.637043030765411
