prediction,n,wape_pct,mae_won,spearman,top10_vs_mean_lift,relative_mae_vs_primary_baseline
baseline_current_q_annualized,3863,18.11943698905165,64308201.877187625,0.9666510220895527,3.925129771477199,1.0
ridge_log_v1,3863,20.12527277253214,71427169.89890327,0.9651845102115044,3.9234012364188287,1.110700778655125
elasticnet_log_v1,3863,19.929445385277358,70732153.42790188,0.9653756921359722,3.9249266165027623,1.099893191897705
