prediction,n,wape_pct,mae_won,spearman,top10_vs_median_lift,top10_vs_mean_lift
baseline_current_q_annualized,7116,18.517378854660983,66789954.96301302,0.9660471084921471,6.2404531381711195,3.8479181540165515
baseline_trailing_12m_per_store,5593,21.144734825464493,75389356.79421039,0.9596215595696959,6.2094687338134635,3.810342297875705
baseline_same_quarter_last_year_annualized,5164,32.371884159336375,114699457.62785982,0.9148943167209002,5.939609868443289,3.6441957101092544
