prediction,overall_wape_pct,wape_difference_vs_baseline_pct_point,bootstrap_diff_95pct_lower,bootstrap_diff_95pct_upper,bootstrap_probability_beats_baseline_pct,winning_folds_out_of_10,qualified_as_sales_potential_model
baseline_current_q_annualized,18.11943698905165,0.0,0.0,0.0,0.0,0,False
ridge_log_v1,20.12527277253214,2.0058357834804887,1.2026234259514352,2.836446330877474,0.0,0,False
elasticnet_log_v1,19.929445385277358,1.810008396225708,1.048134572527376,2.6143400466185436,0.0,0,False
ridge_baseline_corrected_v1,19.478200031845475,1.358763042793825,0.7167320345303609,2.0166949699740413,0.0,1,False
elasticnet_baseline_corrected_v1,19.335808335945416,1.2163713468937658,0.5743108373937903,1.878034700922166,0.01,2,False
hist_gradient_boosting_corrected_v1,19.227636260126957,1.108199271075307,0.4238219251179145,1.7938534969818736,0.06,2,False
random_forest_corrected_v1,18.469725380845517,0.3502883917938675,-0.31025126181982987,0.9709454475616123,14.719999999999999,2,False
