scenario,brands_with_top10,mean_top10_jaccard,max_top10_jaccard,most_repeated_area_brand_count,high_risk_top20_count,same_brand_500_750m_top20_count,mean_relative_effect_z_top20,min_absolute_fit_top20
balanced_default,24,0.04251323240966867,0.42857142857142855,5,0,0,1.3492583496466675,0.6027713625866051
brand_specific,24,0.030205304216779517,0.42857142857142855,5,0,0,1.4602100046949327,0.5519630484988453
conservative_fit,24,0.059467883947962014,0.5384615384615384,8,0,0,1.2278951256620938,0.7090069284064665
